(R)-alpha-methylhistamine | Chemical
adriamycin | Chemical
Adriamycinol | Chemical
adriamycinone | Chemical
adverse drug reaction | Disease
adverse drug reactions | Disease
adverse effect on the proximal eighth nerve | Disease
aggression | Disease
aggressive behavior | Disease
aggressiveness | Disease
agitation | Disease
agoraphobia | Disease
agranulocytosis | Disease
AHF | Disease
AIDS | Disease
airway obstruction | Disease
akathisia | Disease
akinetic | Disease
alanine | Chemical
albuminuria | Disease
alcohol | Chemical
alcoholic extract of the berries of hawthorn | Chemical
aldehyde | Chemical
aldosterone | Chemical
alendronate | Chemical
alendronate sodium | Chemical
ALF | Disease
alfentanil | Chemical
alkylating agents | Chemical
ALL | Disease
allergic | Disease
allergic reaction | Disease
allergic reactions | Disease
allergy | Disease
allopregnanolone | Chemical
allopurinol | Chemical
alopecia | Disease
alpha-lipoic acid | Chemical
alpha-methyldopa | Chemical
alpha-methyltyrosine | Chemical
alpha-T | Chemical
alpha-TAc | Chemical
alpha-tocopherol | Chemical
alpha-tocopherol acetate | Chemical
alpha,beta-meATP | Chemical
alpha,beta-methylene adenosine-5'-triphosphate | Chemical
alprazolam | Chemical
aluminium | Chemical
Alzheimer's disease | Disease
amantadine | Chemical
amantadine hydrochloride | Chemical
AmB | Chemical
AMCA | Chemical
amenorrhea | Disease
AMI | Chemical
amifostine | Chemical
amikacin | Chemical
amiloride | Chemical
amine | Chemical
amines | Chemical
amino acid | Chemical
aminoaciduria | Disease
aminoglycoside | Chemical
aminoglycosides | Chemical
aminophylline | Chemical
amiodarone | Chemical
amitriptyline | Chemical
amnesia | Disease
amnesic | Disease
amoxicillin | Chemical
amoxicillin-clavulanic acid | Chemical
AMP | Chemical
amphetamine | Chemical
amphetamine abuse | Disease
amphotericin | Chemical
amphotericin B | Chemical
ampicillin | Chemical
amsacrine | Chemical
amyloid beta peptide(1-42) | Chemical
anaphylaxis | Disease
anemia | Disease
anencephaly | Disease
aneurysm | Disease
aneurysmal rupture | Disease
aneurysms | Disease
Angina | Disease
angina pectoris | Disease
angioedema | Disease
angioneurotic edema | Disease
angiopathy | Disease
Angiosarcoma | Disease
Angiosarcoma of the liver	Disease | D006394|D008113
angiotensin	Chemical | D000809
angiotensin | Chemical
angiotensin converting enzyme (ACE) inhibitors | Chemical
angiotensin II | Chemical
angiotensin-converting enzyme (ACE) inhibitor | Chemical
angiotensin-releasing blocker | Chemical
Angiotension II | Chemical
anophthalmia | Disease
anorexia | Disease
anthracycline | Chemical
anthracyclines | Chemical
antidepressant | Chemical
antidepressants | Chemical
antiphospholipid syndrome | Disease
antithymocyte globulin | Chemical
Antituberculosis | Chemical
anuria | Disease
anxiety | Disease
anxiety neurosis | Disease
aortic regurgitation | Disease
Apamin | Chemical
aplastic anaemia | Disease
aplastic anemia | Disease
apnea | Disease
apnoea | Disease
apomorphine | Chemical
aponidine hydrochloride | Chemical
appetite suppressant | Chemical
appetite suppressants | Chemical
appetite-suppressants | Chemical
apraclonidine | Chemical
AraG | Chemical
ARB | Chemical
argatroban | Chemical
Argentine hemorrhagic fever | Disease
arginine vasopressin | Chemical
aripiprazole | Chemical
arrhythmia | Disease
arrhythmias | Disease
arterial hypotension | Disease
arterial injury | Disease
arteriopathic | Disease
arteriovenous malformations | Disease
artery calcification | Disease
arthralgias | Disease
arthritis | Disease
arthrogryposis | Disease
ASA | Chemical
ascites | Disease
asenapine | Chemical
aspartate | Chemical
aspirin | Chemical
asterixis | Disease
astrocytomas | Disease
asystole | Disease
ataxia | Disease
ataxic movements | Disease
atazanavir | Chemical
atherosclerosis | Disease
atherosclerotic | Disease
atherosclerotic lesion | Disease
atherosclerotic obstruction | Disease
Ato | Chemical
atorvastatin | Chemical
ATP | Chemical
atracurium | Chemical
Atracurium besylate | Chemical
atrial fibrillation | Disease
atrial flutter | Disease
atrial septal defects | Disease
atrial tachycardia | Disease
atrio-ventricular dissociation | Disease
atrioventricular reentrant tachycardia | Disease
atrophy | Disease
atropine | Chemical
atropine sulfate | Chemical
attention-deficit/hyperactivity disorder | Disease
Atypical sensations | Disease
audiovisual toxicity | Disease
auditory abnormality | Disease
auditory dysfunction | Disease
auditory neurotoxicity | Disease
Auditory toxicity | Disease
autism | Disease
autism spectrum disorders | Disease
autoimmune hemolytic anemia | Disease
autoimmunity | Disease
autonomic neuropathy | Disease
AV block | Disease
avascular necrosis | Disease
AVP | Chemical
AVRT | Disease
AX | Chemical
axonal damage | Disease
axonal injury | Disease
azathioprine | Chemical
azidothymidine | Chemical
azithromycin | Chemical
AZT | Chemical
bad breath | Disease
basal cell carcinoma | Disease
Basd  ne | Chemical
BCC | Chemical
BCNU | Chemical
BD1008 | Chemical
BD1018 | Chemical
BD1031 | Chemical
BD1063 | Chemical
BE | Chemical
behavioral abnormalities | Disease
behavioral cross-sensitization | Disease
behavioral depression | Disease
behavioral deterioration | Disease
behavioral disorder | Disease
behavioral impairment | Disease
behavioral inflexibility | Disease
benzo[a]-pyrene | Chemical
benzodiazepine | Chemical
benzodiazepines | Chemical
benzoylecgonine | Chemical
benzylisoquinolinium | Chemical
benzylpenicillin | Chemical
benzylpenicilloate | Chemical
benzylpenicilloyl-poly-L-lysine | Chemical
benzylthiouracil | Chemical
bepridil | Chemical
beta lactam | Chemical
beta-carboline | Chemical
beta-CCM | Chemical
beta-lactam | Chemical
beta-thalassemia | Disease
beta-thalassemic | Disease
betaxolol | Chemical
bicuculline | Chemical
bile duct hamartoma	Disease | D001650|D006222
biliary pseudolithiasis | Disease
bilirubin | Chemical
bipolar | Disease
bipolar depression | Disease
bipolar disorder | Disease
bipolar I | Disease
bipolar I disorder | Disease
bipolar II | Disease
birth defect | Disease
birth defects | Disease
bisbenzylisoquinoline | Chemical
bisphosphonate | Chemical
bisphosphonates | Chemical
biventricular dysfunction | Disease
bladder cancer | Disease
bladder carcinoma	Disease | D001749|D002277
bladder carcinomas | Disease
bladder damage | Disease
bladder tumors | Disease
bleeding | Disease
bleomycin | Chemical
blood coagulation | Disease
blood dyscrasias | Disease
blood nitrogen urea | Chemical
blood urea nitrogen | Chemical
blurred vision | Disease
bone marrow depression | Disease
bone marrow necrosis | Disease
bone marrow oedema	Disease | D001855|D004487
bone marrow suppression | Disease
BP reduction | Disease
BPO | Chemical
BPO-PLL | Chemical
brachial neuritis | Disease
brachial plexitis | Disease
bradyarrhythmias | Disease
bradycardia | Disease
bradykinin | Chemical
brain damage | Disease
breast cancer | Disease
breast carcinoma | Disease
bromocriptine | Chemical
bromperidol | Chemical
bronchio-alveolar carcinoma | Disease
bronchitis | Disease
bronchorrhoea | Disease
bronchospasm | Disease
bruising | Disease
bumetanide | Chemical
bundle branch block | Disease
bupivacaine | Chemical
bupropion | Chemical
bupropion hydrochloride | Chemical
busulfan | Chemical
BZDs | Chemical
Ca | Chemical
CAA | Chemical
CaCl(2) | Chemical
CaCl2 | Chemical
caffeine | Chemical
calcification | Disease
calcification of the artery | Disease
calcitonin | Chemical
calcitonin gene-related peptide | Chemical
calcium | Chemical
calcium chloride | Chemical
calcium gluconate | Chemical
calculus | Disease
callosal lesion | Disease
CAN | Disease
cancer | Disease
cancer of the renal pelvis and bladder	Disease | D007680|D001749
cancer of the renal pelvis, ureter or bladder	Disease | D007680|D014516|D001749
cancer of the ureter | Disease
cancers | Disease
cannabis | Chemical
capecitabine | Chemical
capsaicin | Chemical
captopril | Chemical
carbachol | Chemical
carbamazepine | Chemical
carbamylcholin | Chemical
carbidopa | Chemical
carbidopa/levodopa | Chemical
carbimazole | Chemical
carbon dioxide | Chemical
carbon monoxide | Chemical
carbon tetrachloride | Chemical
carboplatin | Chemical
carcinogenesis | Disease
carcinoma | Disease
carcinoma of the bladder	Disease | D001749|D002277
carcinoma of the oral cavity | Disease
cardiac and renal lesions	Disease | D006331|D007674
cardiac arrest | Disease
cardiac arrhythmia | Disease
cardiac arrhythmias | Disease
cardiac asystole | Disease
cardiac damage | Disease
cardiac disease | Disease
cardiac disorders | Disease
cardiac disturbances | Disease
cardiac dysfunction | Disease
cardiac dysrhythmias | Disease
cardiac hypertrophy | Disease
cardiac infarction | Disease
cardiac malformations | Disease
cardiac morphological alterations | Disease
cardiac remodelling | Disease
cardiac tamponade | Disease
cardiac toxicity | Disease
cardiomegaly | Disease
cardiomyopathy | Disease
cardiorespiratory arrest | Disease
cardiotoxic | Disease
cardiotoxicity | Disease
cardiovascular alterations | Disease
cardiovascular and gastrointestinal systems	Disease | D002318|D005767
cardiovascular complications | Disease
cardiovascular disease | Disease
cardiovascular malformations | Disease
cardiovascular toxicities | Disease
caries | Disease
carious episodes | Disease
carious lesions | Disease
carmofur | Chemical
catalepsy | Disease
cataract | Disease
cataracts | Disease
catecholamine | Chemical
catecholamines | Chemical
cauda equina syndrome | Disease
CBZ | Chemical
CC | Chemical
CCl4 | Chemical
cefazedone | Chemical
cefonicid | Chemical
ceftriaxone | Chemical
Central nervous system (CNS) complications | Disease
Central nervous system complications | Disease
cephalosporin | Chemical
cephalosporins | Chemical
cephalothin | Chemical
cephalothin sodium | Chemical
cerebellar atrophy | Disease
cerebellar disorders | Disease
cerebellum damage | Disease
cerebral aneurysm | Disease
cerebral aneurysms | Disease
cerebral edema | Disease
cerebral haemorrhage | Disease
cerebral haemorrhages | Disease
cerebral hypoxia | Disease
cerebral infarction | Disease
cerebral ischaemia | Disease
cerebral vasculitis | Disease
CFCs | Chemical
CGRP | Chemical
charcoal | Chemical
CHC | Disease
chest pain | Disease
chest wall rigidity | Disease
CHF | Disease
chlorambucil | Chemical
chlorhexidine-digluconate | Chemical
chlormethiazole | Chemical
chloroacetaldehyde | Chemical
chlorofluorocarbons | Chemical
chloroquine | Chemical
chlorpromazine | Chemical
choanal atresia | Disease
cholecystitis | Disease
cholestasis | Disease
cholestatic | Disease
cholestatic disease | Disease
cholestatic hepatitis	Disease | D002779|D056486
cholestatic syndrome | Disease
cholesterol | Chemical
cholesteryl ester | Chemical
cholesteryl esters | Chemical
choline | Chemical
Choreatiform hyperkinesias	Disease | D002819|D006948
choreoathetoid movements | Disease
choriocarcinoma | Disease
chorioretinal atrophy | Disease
chronic active (aggressive) hepatitis | Disease
chronic active hepatitis | Disease
chronic airflow obstruction | Disease
chronic allograft nephropathy | Disease
chronic hepatitis C | Disease
chronic kidney disease | Disease
chronic obstructive pulmonary disease | Disease
chronic pain | Disease
chronic renal damage | Disease
chronic renal failure | Disease
chronic renal insufficiency | Disease
chronically infected with hepatitis C virus | Disease
CI-921 | Chemical
CIMD | Disease
cimetidine | Chemical
cinacalcet | Chemical
cinacalcet HCl | Chemical
ciprofloxacin | Chemical
CIPS | Disease
circulatory failure | Disease
cirrhosis | Disease
cirrhosis of the liver | Disease
cis-platin | Chemical
cisapride | Chemical
cisplatin | Chemical
cisplatinum | Chemical
citalopram | Chemical
citrate | Chemical
clavulanic acid | Chemical
clear cell adenocarcinoma | Disease
clear cell adenocarcinoma of the vagina	Disease | D018262|D014625
cleft lip | Disease
cleft palate | Disease
clioquinol | Chemical
clomiphene | Chemical
clomiphene citrate | Chemical
clomipramine | Chemical
clonic fits | Disease
clonidine | Chemical
clopidogrel | Chemical
clotiazepam | Chemical
clozapine | Chemical
clumsiness | Disease
cluster headache | Disease
CM | Disease
CNS damage | Disease
co-trimoxazole | Chemical
CO2 | Chemical
coagulopathy | Disease
coarctation of the aorta | Disease
cocaine | Chemical
cocaine abuse | Disease
cocaine addiction | Disease
cocaine overdose | Disease
coccidioidomycosis | Disease
cognitive and functional deficits | Disease
cognitive and functional impairments | Disease
cognitive decline | Disease
cognitive deficits | Disease
cognitive dysfunction | Disease
cognitive dysfunctions | Disease
cognitive impairment | Disease
cognitive, motivational, or creative deficits | Disease
colistin | Chemical
colorectal, breast and head and neck cancers	Disease | D015179|D001943|D006258
colorectal, breast, pancreaticobiliary, gastric, renal cell and head and neck cancers	Disease | D015179|D001943|D010190|D013274|D002292|D006258
coma | Disease
comatose | Disease
combination of amoxicillin and clavulanic acid | Chemical
compartment syndrome | Disease
compression neuropathy | Disease
Compression neuropathy of the radial nerve	Disease | D009408|D020425
confusion | Disease
congenital anomalies | Disease
congestive heart failure | Disease
coniine | Chemical
Conjunctival blanching | Disease
conjunctivitis | Disease
connective tissue disorders | Disease
constipating | Disease
constipation | Disease
contracture | Disease
contrast medium | Chemical
convulsants | Disease
convulsion | Disease
convulsions | Disease
convulsive | Disease
cor pulmonale | Disease
cord damage | Disease
corneal abrasion | Disease
coronary aneurysm | Disease
coronary arterial stenosis | Disease
coronary artery disease | Disease
coronary heart disease | Disease
coronary occlusion | Disease
coronary spasm | Disease
cortical laminar necrosis | Disease
corticosteroids | Chemical
corticosterone | Chemical
corticostriatal dysfunction | Disease
cortisol | Chemical
CP 93129 | Chemical
CPA | Chemical
CPM | Chemical
Cr | Chemical
cranial hemorrhage | Disease
cranial nerve deficits | Disease
cranial nerve dysfunction | Disease
cranial neuropathy | Disease
Crataegus oxycantha | Chemical
creatine | Chemical
creatinine | Chemical
CRF | Disease
critically ill | Disease
Crohn's disease | Disease
CsA | Chemical
cuprolinic blue | Chemical
curcumin | Chemical
Cushing's syndrome | Disease
cutis verticis gyrata | Disease
CY | Chemical
CyA | Chemical
cyanosis | Disease
cyclic nucleotide | Chemical
cycloheximide | Chemical
cyclophosphamide | Chemical
cyclosporin | Chemical
cyclosporin A | Chemical
cyclosporine | Chemical
cyclosporine A | Chemical
cyproterone acetate | Chemical
cystic renal diseases | Disease
cystitis | Disease
cytopenia | Disease
cytopenias | Disease
cytosine | Chemical
d-amphetamine | Chemical
D-pen | Chemical
D-penicillamine | Chemical
DA | Chemical
dacarbazine | Chemical
danazol | Chemical
dapsone | Chemical
Daucus carota extract | Chemical
daunorubicin | Chemical
daytime sleepiness | Disease
DBP reduction | Disease
DCE | Chemical
ddI | Chemical
deafness | Disease
death | Disease
deaths | Disease
debrisoquine | Chemical
decline of cognitive function | Disease
declines in simple and sustained attention, working memory, and verbal memory	Disease | D003072|D008569
decrease in arterial blood pressure | Disease
decreased appetite | Disease
decreased basal ganglia perfusion | Disease
decreased cardiac output | Disease
decreased thymus (P < 0.001) and bodyweights | Disease
decreases in arterial blood pressure | Disease
decreases in arterial blood pressure and cardiac output	Disease | D007022|D002303
Decreases in systolic blood pressure | Disease
decreases of TEOAEs amplitudes | Disease
deferoxamine | Chemical
deficit of associative memory | Disease
deficits in communication and social skills | Disease
Deficits in learning and memory	Disease | D007859|D008569
deformations | Disease
degeneration of myelin and axons	Disease | D003711|D009410
dehydration | Disease
Delayed free recall was also impaired | Disease
delirium | Disease
delta 9-tetrahydrocannabinol | Chemical
dementia | Disease
demyelinating disorder | Disease
deoxycorticosterone | Chemical
depressed | Disease
depressed mood | Disease
depression | Disease
depressions | Disease
depressive | Disease
depressive disorder | Disease
depressive disorders | Disease
depressive illness | Disease
depressive symptoms | Disease
dermatitis | Disease
DES | Chemical
des Arg10 HOE 140 | Chemical
des-Arg10HOE 140 | Chemical
desaturation | Disease
desferrioxamine | Chemical
desipramine | Chemical
desipramine HCl | Chemical
desogestrel | Chemical
deterioration of cognitive functions | Disease
dex | Chemical
dexamethasone | Chemical
dextran | Chemical
dextromethorphan | Chemical
DFO | Chemical
DFP | Chemical
DFU | Chemical
di-o-tolylguanidine | Chemical
diabetes | Disease
diabetes insipidus | Disease
diabetes mellitus | Disease
diabetes-insipidus-like syndrome | Disease
diabetic (streptozotocin-induced) and toxic (vincristine-induced) neuropathy	Disease | D003929|D010523
diabetic | Disease
diabetic and toxic neuropathy	Disease | D003929|D010523
diabetic autonomic neuropathy | Disease
diabetic hyperalgesia | Disease
diabetic nephropathy | Disease
diabetic neuropathy | Disease
diaphragmatic hernia | Disease
diarrhea | Disease
diarrhoea | Disease
diazepam | Chemical
diclofenac | Chemical
diclofenac sodium | Chemical
dicyclomine | Chemical
didanosine | Chemical
diethylstilbestrol | Chemical
dihydrouracil | Chemical
diisopropylfluorophosphate | Chemical
dilated cardiomyopathy | Disease
diltiazem | Chemical
diphenhydramine | Chemical
diplopia | Disease
dipyridamole | Chemical
Diseases of peripheral nerves | Disease
dislocation | Disease
disorder of neuromuscular transmission | Disease
disorders of the central nervous system | Disease
disorientation | Disease
disruptive behaviors | Disease
disturbances of sleep-wake rhythm | Disease
disulfiram | Chemical
divalproex sodium | Chemical
dizocilpine | Chemical
dizocilpine maleate | Chemical
dizziness | Disease
DL-Threo-dihydroxyphenylserine | Chemical
DMCM | Chemical
DNR | Chemical
dobutamine | Chemical
docetaxel | Chemical
domperidone | Chemical
DOPAC | Chemical
dopamine | Chemical
dopamine agonist | Chemical
dopaminergic terminal damage | Disease
Dormex | Chemical
dothiepin | Chemical
dothiepin hydrochloride | Chemical
DOX | Chemical
doxorubicin | Chemical
drowsiness | Disease
drug abuse | Disease
drug dependence | Disease
drug dependency | Disease
drug toxicity | Disease
drug-induced allergic reaction | Disease
drug-induced hepatitis | Disease
Drug-induced parkinsonism | Disease
dry mouth | Disease
DSM-IV bipolar I | Disease
DTG | Chemical
DTIC | Chemical
Duchenne dystrophy | Disease
Dup 753 | Chemical
Dupuytren's contracture | Disease
dyazide | Chemical
dysarthria | Disease
dyschromatopsy | Disease
dyskinesia | Disease
dyskinesias | Disease
dyskinetic movements | Disease
dysphonia | Disease
dysphoric reaction | Disease
dyspnea | Disease
dyspnoea | Disease
dystonia | Disease
E2 | Chemical
E4031 | Chemical
eating disorders | Disease
Ebstein's anomaly | Disease
ecstasy | Chemical
edema | Disease
EE | Chemical
Ehrlich ascites tumor | Disease
elevated blood pressures | Disease
embolic events | Disease
embolism | Disease
emesis | Disease
enalapril | Chemical
encephalopathy | Disease
end-stage renal disease | Disease
endocrine disorder | Disease
endometrial cancer | Disease
endometrial hyperplasia | Disease
endometrial hyperplasia or cancer	Disease | D004714|D016889
endophthalmitis | Disease
endothelial injury | Disease
enflurane | Chemical
enlargement of the liver | Disease
entropion | Disease
enuresis | Disease
eosinophilia | Disease
EP | Chemical
ephedrine | Chemical
epilepsy | Disease
epileptic | Disease
epileptic seizures | Disease
epinephrine | Chemical
EPS | Disease
erectile dysfunction | Disease
ergotamine | Chemical
erythema multiforme | Disease
erythroblastocytopenia | Disease
erythroderma | Disease
erythromycins | Chemical
escitalopram | Chemical
esophageal carcinoma | Disease
esophageal squamous cell carcinoma | Disease
ESRD | Disease
estradiol | Chemical
estradiol- and testosterone esters | Chemical
estrogen | Chemical
ethanol | Chemical
ethinyl estradiol | Chemical
ethosuximide | Chemical
etoposide | Chemical
everolimus | Chemical
exanthema | Disease
excessive flexion or extension of one or more toes | Disease
exencephalic | Disease
exencephaly | Disease
extensive hepatocellular necrosis | Disease
extract of Daucus carota seeds | Chemical
extrahepatic cholestasis | Disease
extrapyramidal concomitant symptoms | Disease
extrapyramidal signs | Disease
extrapyramidal symptoms | Disease
ezetimibe | Chemical
FAN | Chemical
Fanconi syndrome | Disease
Fanconi's syndrome | Disease
FANFT | Chemical
fangchinoline | Chemical
fasciculation | Disease
fasciculations | Disease
fatigue | Disease
fatty change | Disease
febrile illness | Disease
fecal occult blood | Disease
femoral nerve palsy | Disease
fenfluramines | Chemical
fentanyl | Chemical
fever | Disease
fibrosis | Disease
fibrous myopathy | Disease
fistula | Disease
fits | Disease
FK 506 | Chemical
FK506 | Chemical
FL | Chemical
FLA-63 | Chemical
flestolol | Chemical
Flumazenil | Chemical
flunitrazepam | Chemical
fluorescein | Chemical
fluorescein sodium | Chemical
fluoroacetate | Chemical
fluorocitrate | Chemical
Fluoropyrimidines | Chemical
fluoroquinolone | Chemical
fluoxetine | Chemical
fluphenazine | Chemical
flurbiprofen | Chemical
flushing | Disease
flushing of the face | Disease
flutamide | Chemical
fluvastatin | Chemical
focal glomerulosclerosis | Disease
focal segmental glomerulosclerosis | Disease
folate | Chemical
folic acid | Chemical
folinic acid | Chemical
foot deformities | Disease
forestomach tumors | Disease
FR 139317 | Chemical
fracture | Disease
fractures | Disease
frontal lobe syndrome | Disease
fucoidan | Chemical
fulminant hepatic failure | Disease
fulminant hepatitis | Disease
functional impairments | Disease
fungal infection | Disease
furosemide | Chemical
fusidic acid | Chemical
GABA | Chemical
gabapentin | Chemical
Galanthamine hydrobromide | Chemical
gall bladder stones | Disease
gall stone | Disease
gall stone disease | Disease
gall stones | Disease
gallbladder disease | Disease
gallbladder dysfunction | Disease
gallstone | Disease
gallstones | Disease
gamma benzene hexachloride | Chemical
gamma-aminobutyric acid | Chemical
gamma-aminobutyric acidB | Chemical
gamma-carboxyglutamate | Chemical
gamma-carboxylated | Chemical
gamma-HCH | Chemical
gamma-hexachlorocyclohexane | Chemical
gamma-vinyl GABA | Chemical
ganaxolone | Chemical
gangrene | Disease
gastric adenocarcinoma | Disease
gastric hemorrhage | Disease
gastric hemorrhagic | Disease
gastrointestinal (GI) bleeding | Disease
Gastrointestinal bleed | Disease
gastrointestinal disorder | Disease
gastrointestinal disorders | Disease
gastrointestinal problems | Disease
gastrointestinal symptoms | Disease
GEM | Chemical
gemcitabine | Chemical
gemfibrozil | Chemical
generalized seizures | Disease
gentamicin | Chemical
gentamicin sulfate | Chemical
gestational trophoblastic disease | Disease
gestodene | Chemical
giddiness | Disease
ginsenoside | Chemical
Ginsenoside Rg1 | Chemical
glaucoma | Disease
glaucomatous | Disease
glioblastoma | Disease
glioblastomas | Disease
glomerular injury | Disease
glomerular sclerosis	Disease | D007674
glomerular sclerosis | Disease
glomerulonephritis | Disease
glomerulopathies | Disease
glomerulosclerosis | Disease
glucaric acid | Chemical
glucose | Chemical
glucose tolerance curves | Disease
glucosuria | Disease
glutamate | Chemical
glutamine | Chemical
glutathione | Chemical
glyburide | Chemical
glycerin | Chemical
glycine | Chemical
glycopyrrolate | Chemical
glycosaminoglycan | Chemical
glycosuria | Disease
GM | Chemical
GNC92H2 | Chemical
gout | Disease
GR 55562 | Chemical
granulocytopenia | Disease
granulomas | Disease
Granulomatous hepatitis	Disease | D006099|D056486
Grape seed extract | Chemical
Graves' disease | Disease
green tea | Chemical
GSH | Chemical
GSPE | Chemical
Guillain-Barr   syndrome | Disease
gum Arabic | Chemical
GVG | Chemical
gynecomastia | Disease
H | Chemical
H2O | Chemical
H2O2 | Chemical
Haematological toxicity | Disease
haemodilution | Disease
haemolysis | Disease
haemolytic anaemia | Disease
haemolytic-uraemic syndrome | Disease
haemorrhage | Disease
haemorrhages | Disease
hallucinations | Disease
hallucinosis | Disease
halogenated hydroxyquinolines | Chemical
haloperidol | Chemical
halothane | Chemical
halothane hepatitis | Disease
hand-foot syndrome | Disease
HBeAg | Chemical
HBs Ag | Chemical
HBsAg | Chemical
HBV and HIV co-infected	Disease | D006509|D015658
HBV infected | Disease
HBV infection | Disease
HBV mono-infected | Disease
HBV-HIV co-infected	Disease | D006509|D015658
HCFC 123 | Chemical
HCFC 124 | Chemical
HCFCs | Chemical
HCFCs 123 and 124	Chemical | C067411|C072959
head and neck cancer | Disease
head and neck cancers | Disease
